time_point(ms),time(UTC+8),pt(ep)
1713510903000,2024-04-19 15:15:03,8295
1713512700000,2024-04-19 15:45:00,31785
1713514500000,2024-04-19 16:15:00,45985
1713516300000,2024-04-19 16:45:00,54895
1713518100000,2024-04-19 17:15:00,62085
1713519900000,2024-04-19 17:45:00,67780
1713521700000,2024-04-19 18:15:00,73454
1713523500000,2024-04-19 18:45:00,78590
1713525301000,2024-04-19 19:15:01,82805
1713527100000,2024-04-19 19:45:00,89007
1713528900000,2024-04-19 20:15:00,94620
1713530700000,2024-04-19 20:45:00,100850
1713532500000,2024-04-19 21:15:00,107727
1713534300000,2024-04-19 21:45:00,114555
1713536100000,2024-04-19 22:15:00,120832
1713537900000,2024-04-19 22:45:00,126774
1713539700000,2024-04-19 23:15:00,132654
1713541500000,2024-04-19 23:45:00,139085
1713543300000,2024-04-20 00:15:00,144231
1713545100000,2024-04-20 00:45:00,149670
1713546900000,2024-04-20 01:15:00,154770
1713548700000,2024-04-20 01:45:00,157521
1713550500000,2024-04-20 02:15:00,160877
1713552300000,2024-04-20 02:45:00,162218
1713554100000,2024-04-20 03:15:00,163860
1713555900000,2024-04-20 03:45:00,164696
1713557700000,2024-04-20 04:15:00,166530
1713559500000,2024-04-20 04:45:00,167285
1713561300000,2024-04-20 05:15:00,167485
1713563100000,2024-04-20 05:45:00,167793
1713564900000,2024-04-20 06:15:00,168417
1713566700000,2024-04-20 06:45:00,168868
1713568500000,2024-04-20 07:15:00,170166
1713570300000,2024-04-20 07:45:00,171905
1713572100000,2024-04-20 08:15:00,173414
1713573900000,2024-04-20 08:45:00,175901
1713575700000,2024-04-20 09:15:00,178925
1713577500000,2024-04-20 09:45:00,182620
1713579300000,2024-04-20 10:15:00,188042
1713581100000,2024-04-20 10:45:00,191498
1713582900000,2024-04-20 11:15:00,197960
1713584700000,2024-04-20 11:45:00,202439
1713586500000,2024-04-20 12:15:00,205899
1713588300000,2024-04-20 12:45:00,210937
1713590100000,2024-04-20 13:15:00,216080
1713591900000,2024-04-20 13:45:00,221277
1713593700000,2024-04-20 14:15:00,225194
1713595500000,2024-04-20 14:45:00,228720
1713597300000,2024-04-20 15:15:00,232652
1713599100000,2024-04-20 15:45:00,237440
1713600900000,2024-04-20 16:15:00,241775
1713602700000,2024-04-20 16:45:00,246950
1713604500000,2024-04-20 17:15:00,250855
1713606300000,2024-04-20 17:45:00,255113
1713608100000,2024-04-20 18:15:00,259368
1713609900000,2024-04-20 18:45:00,263410
1713613510000,2024-04-20 19:45:10,272080
1713615300000,2024-04-20 20:15:00,278485
1713617100000,2024-04-20 20:45:00,283523
1713618900000,2024-04-20 21:15:00,287260
1713620700000,2024-04-20 21:45:00,291405
1713622500000,2024-04-20 22:15:00,297284
1713624300000,2024-04-20 22:45:00,300943
1713626100000,2024-04-20 23:15:00,307154
1713627900000,2024-04-20 23:45:00,315175
1713629700000,2024-04-21 00:15:00,319875
1713631500000,2024-04-21 00:45:00,326143
1713633300000,2024-04-21 01:15:00,329676
1713635100000,2024-04-21 01:45:00,331340
1713636900000,2024-04-21 02:15:00,334023
1713638700000,2024-04-21 02:45:00,335505
1713640500000,2024-04-21 03:15:00,336033
1713642301000,2024-04-21 03:45:01,337400
1713644100000,2024-04-21 04:15:00,338179
1713645900000,2024-04-21 04:45:00,339158
1713647700000,2024-04-21 05:15:00,339830
1713649500000,2024-04-21 05:45:00,340162
1713651300000,2024-04-21 06:15:00,340470
1713653100000,2024-04-21 06:45:00,341193
1713654900000,2024-04-21 07:15:00,341653
