time_point(ms),time(UTC+8),pt(ep)
1747379708000,2025-05-16 15:15:08,17445
1747381501000,2025-05-16 15:45:01,41220
1747383305000,2025-05-16 16:15:05,52105
1747385107000,2025-05-16 16:45:07,60035
1747386901000,2025-05-16 17:15:01,65265
1747388705000,2025-05-16 17:45:05,71880
1747390508000,2025-05-16 18:15:08,77631
1747392301000,2025-05-16 18:45:01,82905
1747394105000,2025-05-16 19:15:05,88960
1747395909000,2025-05-16 19:45:09,96615
1747397702000,2025-05-16 20:15:02,104910
1747399510000,2025-05-16 20:45:10,113964
1747401302000,2025-05-16 21:15:02,120695
1747403104000,2025-05-16 21:45:04,127904
1747404906000,2025-05-16 22:15:06,135840
1747406708000,2025-05-16 22:45:08,144035
1747408500000,2025-05-16 23:15:00,155310
1747410303000,2025-05-16 23:45:03,165201
1747412105000,2025-05-17 00:15:05,173777
1747413908000,2025-05-17 00:45:08,180210
1747415710000,2025-05-17 01:15:10,186870
1747417502000,2025-05-17 01:45:02,192600
1747419306000,2025-05-17 02:15:06,195295
1747421110000,2025-05-17 02:45:10,198837
1747422903000,2025-05-17 03:15:03,200120
1747424707000,2025-05-17 03:45:07,201815
1747426509000,2025-05-17 04:15:09,203065
1747428301000,2025-05-17 04:45:01,204985
1747430104000,2025-05-17 05:15:04,207214
1747431907000,2025-05-17 05:45:07,207737
1747433709000,2025-05-17 06:15:09,208800
1747435501000,2025-05-17 06:45:01,209435
1747437304000,2025-05-17 07:15:04,210265
1747439107000,2025-05-17 07:45:07,212118
1747440910000,2025-05-17 08:15:10,214919
1747442703000,2025-05-17 08:45:03,218245
1747444506000,2025-05-17 09:15:06,221580
1747446308000,2025-05-17 09:45:08,225845
1747448100000,2025-05-17 10:15:00,233285
1747449903000,2025-05-17 10:45:03,238585
1747451707000,2025-05-17 11:15:07,244528
1747453500000,2025-05-17 11:45:00,249685
1747455304000,2025-05-17 12:15:04,255140
1747457108000,2025-05-17 12:45:08,259275
1747458902000,2025-05-17 13:15:02,266465
1747460706000,2025-05-17 13:45:06,272122
1747462510000,2025-05-17 14:15:10,280252
1747464303000,2025-05-17 14:45:03,286245
1747466106000,2025-05-17 15:15:06,293250
1747467910000,2025-05-17 15:45:10,298699
1747469703000,2025-05-17 16:15:03,304559
1747471507000,2025-05-17 16:45:07,311609
1747473309000,2025-05-17 17:15:09,319273
1747475102000,2025-05-17 17:45:02,327647
1747476905000,2025-05-17 18:15:05,333750
1747478708000,2025-05-17 18:45:08,337503
1747480501000,2025-05-17 19:15:01,343360
1747482305000,2025-05-17 19:45:05,350581
1747484109000,2025-05-17 20:15:09,357043
1747485903000,2025-05-17 20:45:03,363691
1747487708000,2025-05-17 21:15:08,366376
1747489501000,2025-05-17 21:45:01,373222
1747491305000,2025-05-17 22:15:05,377138
1747493107000,2025-05-17 22:45:07,383102
1747494900000,2025-05-17 23:15:00,389263
1747496704000,2025-05-17 23:45:04,395556
1747498508000,2025-05-18 00:15:08,406083
1747500301000,2025-05-18 00:45:01,419163
1747502105000,2025-05-18 01:15:05,424392
1747503907000,2025-05-18 01:45:07,433079
1747505700000,2025-05-18 02:15:00,435423
1747507503000,2025-05-18 02:45:03,437560
1747509305000,2025-05-18 03:15:05,440915
1747511109000,2025-05-18 03:45:09,443183
1747512902000,2025-05-18 04:15:02,444698
1747514704000,2025-05-18 04:45:04,445325
1747516507000,2025-05-18 05:15:07,447970
1747518300000,2025-05-18 05:45:00,448065
1747520104000,2025-05-18 06:15:04,449402
1747521907000,2025-05-18 06:45:07,451055
1747523709000,2025-05-18 07:15:09,451748
1747525502000,2025-05-18 07:45:02,453102
1747527305000,2025-05-18 08:15:05,453486
1747529107000,2025-05-18 08:45:07,455999
1747530902000,2025-05-18 09:15:02,459412
1747532705000,2025-05-18 09:45:05,466260
1747534507000,2025-05-18 10:15:07,471885
1747536300000,2025-05-18 10:45:00,475338
1747538106000,2025-05-18 11:15:06,483128
