time_point(ms),time(UTC+8),pt(ep)
1772696713000,2026-03-05 15:45:13,57341
1772698516000,2026-03-05 16:15:16,76440
1772700309000,2026-03-05 16:45:09,85489
1772702104000,2026-03-05 17:15:04,90945
1772703907000,2026-03-05 17:45:07,96550
1772705709000,2026-03-05 18:15:09,101610
1772707503000,2026-03-05 18:45:03,106305
1772709305000,2026-03-05 19:15:05,110685
1772711108000,2026-03-05 19:45:08,116050
1772712910000,2026-03-05 20:15:10,120510
1772714708000,2026-03-05 20:45:08,125805
1772716510000,2026-03-05 21:15:10,130950
1772718303000,2026-03-05 21:45:03,136837
1772720105000,2026-03-05 22:15:05,143160
1772721908000,2026-03-05 22:45:08,150910
1772723710000,2026-03-05 23:15:10,157440
1772725502000,2026-03-05 23:45:02,165185
1772727305000,2026-03-06 00:15:05,172710
1772729108000,2026-03-06 00:45:08,179630
1772730910000,2026-03-06 01:15:10,183574
1772732702000,2026-03-06 01:45:02,185883
1772734505000,2026-03-06 02:15:05,189600
1772736308000,2026-03-06 02:45:08,190575
1772738107000,2026-03-06 03:15:07,192205
1772739910000,2026-03-06 03:45:10,193920
1772741705000,2026-03-06 04:15:05,195285
1772743508000,2026-03-06 04:45:08,196410
1772745301000,2026-03-06 05:15:01,197438
1772747103000,2026-03-06 05:45:03,198525
1772748906000,2026-03-06 06:15:06,198545
1772750708000,2026-03-06 06:45:08,199710
1772752501000,2026-03-06 07:15:01,202241
1772754304000,2026-03-06 07:45:04,204445
1772756107000,2026-03-06 08:15:07,207065
1772757900000,2026-03-06 08:45:00,211430
1772759703000,2026-03-06 09:15:03,214320
1772761506000,2026-03-06 09:45:06,219420
1772763308000,2026-03-06 10:15:08,224969
1772765101000,2026-03-06 10:45:01,228466
1772766903000,2026-03-06 11:15:03,234910
1772768705000,2026-03-06 11:45:05,239313
1772770508000,2026-03-06 12:15:08,245955
1772772301000,2026-03-06 12:45:01,252452
1772774110000,2026-03-06 13:15:10,261257
1772775902000,2026-03-06 13:45:02,269363
1772777706000,2026-03-06 14:15:06,273030
1772779508000,2026-03-06 14:45:08,278875
1772781300000,2026-03-06 15:15:00,282005
1772783103000,2026-03-06 15:45:03,284561
1772784906000,2026-03-06 16:15:06,288312
1772786709000,2026-03-06 16:45:09,291755
1772788501000,2026-03-06 17:15:01,298205
1772790305000,2026-03-06 17:45:05,302476
1772792107000,2026-03-06 18:15:07,308751
1772793909000,2026-03-06 18:45:09,312811
1772795701000,2026-03-06 19:15:01,317530
1772797504000,2026-03-06 19:45:04,323036
1772799306000,2026-03-06 20:15:06,327580
1772801108000,2026-03-06 20:45:08,331555
1772802901000,2026-03-06 21:15:01,339190
1772804704000,2026-03-06 21:45:04,341925
1772806506000,2026-03-06 22:15:06,350595
1772808309000,2026-03-06 22:45:09,360791
1772810102000,2026-03-06 23:15:02,367255
1772811905000,2026-03-06 23:45:05,374209
1772813707000,2026-03-07 00:15:07,381326
1772815509000,2026-03-07 00:45:09,391277
1772817302000,2026-03-07 01:15:02,396730
1772819104000,2026-03-07 01:45:04,401715
1772820906000,2026-03-07 02:15:06,405865
1772822708000,2026-03-07 02:45:08,409430
1772824508000,2026-03-07 03:15:08,411493
1772826300000,2026-03-07 03:45:00,414698
1772828103000,2026-03-07 04:15:03,415555
1772829905000,2026-03-07 04:45:05,416040
1772831708000,2026-03-07 05:15:08,416830
1772833500000,2026-03-07 05:45:00,417030
1772835303000,2026-03-07 06:15:03,417390
1772837105000,2026-03-07 06:45:05,418086
1772838907000,2026-03-07 07:15:07,418600
1772840709000,2026-03-07 07:45:09,420200
1772842502000,2026-03-07 08:15:02,422880
1772844305000,2026-03-07 08:45:05,425967
1772846107000,2026-03-07 09:15:07,428095
1772847910000,2026-03-07 09:45:10,432840
